Name,Brand,Price,Image URL,Product URL
Vans Arthur Longo Hi-Standard Pro 2021 Snowboardboots,Vans,"€ 289,95",https://images.blue-tomato.com/is/image/bluetomato/304372047_front.jpg-HQNos6n5HuAgAeTq4gETnlSC_pA/Vans+Arthur+Longo+Hi+Standard+Pro+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Vans-Arthur+Longo+Hi+Standard+Pro+2021+Snowboardboots-628307/
Roxy Rock-it Dash 2020 Snowboardbindung,Roxy,"€ 99,95",https://images.blue-tomato.com/is/image/bluetomato/304039341_front.jpg-3Sa-sSQo_EDtA_2jUBukcifsozI/Roxy+Rock+it+Dash+2020+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Roxy-Rock+it+Dash+2020+Snowboardbindung-582297/
Capita Super DOA 154 2021 Snowboard,Capita,"€ 669,95",https://images.blue-tomato.com/is/image/bluetomato/304300160_front.jpg-uwIIvxcXm0iUeBIMJocdAba6Nbk/Capita+Super+DOA+154+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Super+DOA+154+2021+Snowboard-618441/
Lib Tech Travis Rice Pro Blunt 157 2021 Snowboard,Lib Tech,"€ 599,95",https://images.blue-tomato.com/is/image/bluetomato/304372929_front.jpg-wPQlLEtlUAzPJUoaxVoJhJEJJD0/Lib+Tech+Travis+Rice+Pro+Blunt+157+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Blunt+157+2021+Snowboard-628752/
Nitro Anthem TLS 2021 Snowboardboots,Nitro,"€ 289,95",https://images.blue-tomato.com/is/image/bluetomato/304321087_front.jpg-Zf2iihhtfU3r0eon4aYdpkHsoCI/Nitro+Anthem+TLS+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Nitro-Anthem+TLS+2021+Snowboardboots-620659/
Salomon Ivy Boa SJ 2020 Snowboardboots,Salomon,"€ 219,95",https://images.blue-tomato.com/is/image/bluetomato/304076272_front.jpg-dl7zA0NDipJnfrug9uCACcGWJf8/Salomon+Ivy+Boa+SJ+2020+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Salomon-Ivy+Boa+SJ+2020+Snowboardboots-589481/
Salomon Spell+ Helm,Salomon,"€ 99,95",https://images.blue-tomato.com/is/image/bluetomato/304378398_front.jpg-so0mbspfpBu40tK6DQVMvB9jnHY/Salomon+Spell+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Salomon-Spell+Helm-630684/
Union Expedition Splitboard-Bindung 2021,Union,"€ 379,95",https://images.blue-tomato.com/is/image/bluetomato/304300432_front.jpg-9XMWLw6G3sObOVyGUqGfxP1bTwY/Union+Expedition+Splitboard+Bindung+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Expedition+Splitboard+Bindung+2021-618614/
Gnu Riders Choice 157.5 2021 Snowboard,Gnu,"€ 579,95",https://images.blue-tomato.com/is/image/bluetomato/304372784_front.jpg-ywUPw7SRE5dVWktINLAXMIkrIIo/Gnu+Riders+Choice+157+5+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Gnu-Riders+Choice+157+5+2021+Snowboard-628627/
Bataleon Evil Twin 154 2020 Snowboard,Bataleon,"€ 379,95",https://images.blue-tomato.com/is/image/bluetomato/304039486_front.jpg-wC9LlAdcYBWRJjeG39It4XovmKw/Bataleon+Evil+Twin+154+2020+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Bataleon-Evil+Twin+154+2020+Snowboard-582374/
